Target Champ,Enemy 1,Enemy 2,Enemy 3,Enemy 4,Enemy 5,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Player puuid,Match ID,Date added,Patch
Sett,Garen,Gwen,Zed,Jinx,Karma,1055,6630,3133,3067,3047,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5738299499,05/02/2022,12.3
Sett,Fiora,Nidalee,Sylas,Ashe,Lulu,1055,3153,6662,3047,0,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5738284177,05/02/2022,12.3
Sett,Kennen,LeeSin,Yone,Jhin,Yuumi,1054,6631,3044,3111,1037,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5738059533,05/02/2022,12.3
Sett,Mordekaiser,Graves,Ekko,Jhin,Lux,3748,3153,3047,6662,1036,1036,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5738130364,05/02/2022,12.3
Sett,Gnar,XinZhao,Leblanc,Zeri,Xerath,1054,6631,1036,3047,0,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5737837114,05/02/2022,12.3
Sett,Quinn,Viego,Vex,Jinx,Karma,1054,0,2031,3047,3082,3067,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5737803687,05/02/2022,12.3
Sett,Lucian,Ekko,Zed,Ezreal,Yuumi,1054,6631,2031,1036,1036,3047,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5737688871,05/02/2022,12.3
Sett,Riven,Graves,Katarina,Jhin,Seraphine,6662,3153,0,3047,6333,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5737607485,05/02/2022,12.3
Sett,Ekko,Zed,Azir,Jhin,Rakan,1028,6630,2031,3066,1031,3111,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5737478642,05/02/2022,12.3
Sett,Jax,Viego,Akali,Jinx,Yuumi,1037,3153,3047,6662,3133,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5735544138,05/02/2022,12.3
Sett,Aatrox,Viego,Zoe,Jhin,Karma,1055,3153,6662,3047,3133,1029,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5735447234,05/02/2022,12.3
Sett,LeeSin,Poppy,Ekko,Jinx,Janna,1055,3153,6662,1037,3047,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5735409820,05/02/2022,12.3
Sett,Renekton,JarvanIV,Leona,Jhin,Viktor,3857,6664,3047,2031,3066,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5735307518,05/02/2022,12.3
Sett,Akali,LeeSin,Zed,Aphelios,Leona,1054,6662,1028,3047,1037,3153,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5735260422,05/02/2022,12.3
Sett,Jayce,Nunu,Vex,Ezreal,Lulu,0,6631,1036,1036,3047,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5735221538,05/02/2022,12.3
Sett,Jayce,LeeSin,Sylas,Lucian,Nami,3153,3047,2031,6662,1028,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5735071720,05/02/2022,12.3
Sett,Mordekaiser,Viego,Morgana,Yuumi,Sivir,1055,3153,3111,6662,1011,1028,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5734997062,05/02/2022,12.3
Sett,Akshan,Akali,Nunu,Zeri,Morgana,3153,6664,3066,3111,1028,1031,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5734601320,05/02/2022,12.3
Sett,XinZhao,Viego,Viktor,Jhin,Thresh,1055,3153,6662,3047,1028,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5734498062,05/02/2022,12.3
Sett,Gnar,Hecarim,Ahri,Ezreal,Shaco,1054,3153,6664,3047,1036,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5733918901,05/02/2022,12.3
Sett,Mordekaiser,Graves,Ryze,Zeri,Shaco,3153,3748,3111,6662,6333,1028,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5733916983,05/02/2022,12.3
Sett,Gwen,Kindred,Irelia,Tristana,Janna,1055,3748,3153,6662,3047,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5733855528,05/02/2022,12.3
Sett,Jax,Viego,Xerath,Jinx,Poppy,1054,6662,3153,3047,1028,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5733912209,05/02/2022,12.3
Sett,Camille,Diana,Katarina,Aphelios,Lux,1055,3153,6662,3111,1028,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5733809163,05/02/2022,12.3
Sett,Akali,Graves,Syndra,Ezreal,Lulu,3748,3153,3111,6662,1057,3066,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5733742340,05/02/2022,12.3
Sett,Illaoi,Diana,Corki,Ezreal,Bard,6609,3153,3748,6662,3047,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5733645586,05/02/2022,12.3
Sett,Gwen,Skarner,Leblanc,Jinx,Lulu,1055,3153,3111,6662,1036,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5733506168,05/02/2022,12.3
Sett,Fiora,LeeSin,Anivia,Caitlyn,Lux,3053,3153,6662,3111,3077,1028,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5732720229,05/02/2022,12.3
Sett,Mordekaiser,Viego,Katarina,Jhin,Alistar,1055,3153,6662,3047,1011,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5732643176,05/02/2022,12.3
Sett,Camille,Gwen,Sylas,Caitlyn,Morgana,6609,3153,6662,3047,0,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5732508045,05/02/2022,12.3
Sett,Swain,XinZhao,Taliyah,Kaisa,Nautilus,1055,3153,3111,6662,3044,1028,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5732513228,05/02/2022,12.3
Sett,Renekton,Nidalee,Fizz,Jhin,Sona,3071,6662,3047,3153,3748,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5732415131,05/02/2022,12.3
Sett,Akali,Graves,Orianna,Jhin,Karma,2055,6631,3066,3111,0,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5731030132,05/02/2022,12.2
Sett,Nasus,LeeSin,Sylas,Ezreal,Blitzcrank,3133,6630,3053,3047,3748,1037,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5730992806,05/02/2022,12.2
Sett,Jayce,Zed,Viktor,Jhin,Karma,1054,6631,2031,3047,1036,1028,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5730839745,05/02/2022,12.2
Sett,Gwen,Viego,Vex,Jinx,Thresh,1057,0,3857,3742,3066,3047,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5730890764,05/02/2022,12.2
Sett,Malphite,JarvanIV,AurelionSol,Jinx,Taric,3047,6630,3053,6333,1011,0,vvmyahdFFDwTptOo3rlb5-qNpfpIUAY_Tbbs7UpA9MJyh7cvPH-qTHfNAbF9eikIylB2HW3OsWZv5g,KR_5730752756,05/02/2022,12.2
Sett,Graves,LeeSin,Ryze,Zeri,Nautilus,3026,1037,6631,3748,6333,3047,edwnMbnKP7oElPSrBPUEM_SotrZOJB685w84nH2Mqv82uO3msYgwnhQkepquwyjGJp1_P2FT-gGPFg,KR_5734045192,05/02/2022,12.3
Sett,Rumble,JarvanIV,Ornn,Jinx,Thresh,1054,3153,3111,6660,1033,0,edwnMbnKP7oElPSrBPUEM_SotrZOJB685w84nH2Mqv82uO3msYgwnhQkepquwyjGJp1_P2FT-gGPFg,KR_5733764886,05/02/2022,12.3
